timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1749973897780,107,Enter credentials,200,OK,Test Case 2 2-15,text,true,,24580,1382,4,24,https://my-jmeter-site.ddev.site/user/3?check_logged_in=1,69,0,0
1749973897780,69,Enter credentials-0,303,See Other,Test Case 2 2-15,text,true,,1140,704,4,24,https://my-jmeter-site.ddev.site/user/login,69,0,0
1749973897849,38,Enter credentials-1,200,OK,Test Case 2 2-15,text,true,,23440,678,4,24,https://my-jmeter-site.ddev.site/user/3?check_logged_in=1,35,0,0
1749973897889,16,Open home page,200,OK,Test Case 1 1-17,text,true,,74152,505,4,24,https://my-jmeter-site.ddev.site/,16,0,7
1749973897860,104,Enter credentials,200,OK,Test Case 1 1-15,text,true,,24567,1378,4,24,https://my-jmeter-site.ddev.site/user/9?check_logged_in=1,68,0,0
1749973897860,68,Enter credentials-0,303,See Other,Test Case 1 1-15,text,true,,1136,704,4,24,https://my-jmeter-site.ddev.site/user/login,68,0,0
1749973897928,36,Enter credentials-1,200,OK,Test Case 1 1-15,text,true,,23431,674,4,24,https://my-jmeter-site.ddev.site/user/9?check_logged_in=1,34,0,0
1749973897969,106,Enter credentials,200,OK,Test Case 1 1-16,text,true,,24567,1378,5,27,https://my-jmeter-site.ddev.site/user/7?check_logged_in=1,67,0,0
1749973897969,67,Enter credentials-0,303,See Other,Test Case 1 1-16,text,true,,1136,704,5,27,https://my-jmeter-site.ddev.site/user/login,67,0,0
1749973898036,39,Enter credentials-1,200,OK,Test Case 1 1-16,text,true,,23431,674,5,27,https://my-jmeter-site.ddev.site/user/7?check_logged_in=1,37,0,0
1749973898098,14,Open home page,200,OK,Test Case 1 1-14,text,true,,74152,505,5,29,https://my-jmeter-site.ddev.site/,14,0,5
1749973898100,13,Open home page,200,OK,Test Case 3 3-14,text,true,,74152,505,5,29,https://my-jmeter-site.ddev.site/,13,0,5
1749973898149,7,Click Login,200,OK,Test Case 3 3-15,text,true,,20861,515,5,30,https://my-jmeter-site.ddev.site/user/login,7,0,0
1749973898344,13,Open home page,200,OK,Test Case 6 6-14,text,true,,74152,505,5,30,https://my-jmeter-site.ddev.site/,12,0,4
1749973898351,13,Open home page,200,OK,Test Case 4 4-14,text,true,,74152,505,5,30,https://my-jmeter-site.ddev.site/,13,0,5
1749973898384,9,Search a keyword,200,OK,Test Case 5 5-17,text,true,,29232,526,5,30,https://my-jmeter-site.ddev.site/search/node?keys=abdo,9,0,0
1749973898470,11,Open content,200,OK,Test Case 4 4-15,text,true,,25696,512,5,30,https://my-jmeter-site.ddev.site/node/22,11,0,0
1749973898535,28,Open home page,200,OK,Test Case 3 3-17,text,true,,77006,601,5,30,https://my-jmeter-site.ddev.site/,25,0,0
1749973898474,115,Enter credentials,200,OK,Test Case 3 3-16,text,true,,24590,1379,5,30,https://my-jmeter-site.ddev.site/user/14?check_logged_in=1,72,0,0
1749973898474,72,Enter credentials-0,303,See Other,Test Case 3 3-16,text,true,,1141,704,5,30,https://my-jmeter-site.ddev.site/user/login,72,0,0
1749973898547,42,Enter credentials-1,200,OK,Test Case 3 3-16,text,true,,23449,675,5,30,https://my-jmeter-site.ddev.site/user/14?check_logged_in=1,39,0,0
1749973898602,14,Open home page,200,OK,Test Case 4 4-17,text,true,,74152,505,5,30,https://my-jmeter-site.ddev.site/,13,0,4
1749973898820,44,Submit feedback,200,OK,Test Case 6 6-17,text,true,,23595,820,5,30,https://my-jmeter-site.ddev.site/contact,44,0,0
1749973898976,27,Open content,200,OK,Test Case 1 1-15,text,true,,27504,608,5,30,https://my-jmeter-site.ddev.site/node/26,24,0,0
1749973899012,7,Click Login,200,OK,Test Case 1 1-17,text,true,,20861,515,5,30,https://my-jmeter-site.ddev.site/user/login,7,0,0
1749973899031,8,Open home page,200,OK,Test Case 6 6-16,text,true,,74152,505,5,30,https://my-jmeter-site.ddev.site/,7,0,0
1749973899049,14,Open home page,200,OK,Test Case 2 2-13,text,true,,74152,505,5,30,https://my-jmeter-site.ddev.site/,14,0,6
1749973899101,12,Open home page,200,OK,Test Case 1 1-13,text,true,,74152,505,5,30,https://my-jmeter-site.ddev.site/,12,0,4
1749973899185,17,Open home page,200,OK,Test Case 5 5-16,text,true,,74152,505,5,30,https://my-jmeter-site.ddev.site/,17,0,7
1749973899228,8,Search a keyword,200,OK,Test Case 5 5-14,text,true,,29232,526,5,30,https://my-jmeter-site.ddev.site/search/node?keys=abdo,8,0,0
1749973899229,9,Click Login,200,OK,Test Case 1 1-14,text,true,,20861,515,5,30,https://my-jmeter-site.ddev.site/user/login,9,0,0
1749973899229,64,Search a keyword,200,OK,Test Case 2 2-15,text,true,,32152,626,5,30,https://my-jmeter-site.ddev.site/search/node?keys=abdo,58,0,0
1749973899437,9,Open home page,200,OK,Test Case 6 6-15,text,true,,74152,505,5,30,https://my-jmeter-site.ddev.site/,9,0,0
1749973899509,14,Open home page,200,OK,Test Case 4 4-15,text,true,,74152,505,5,30,https://my-jmeter-site.ddev.site/,13,0,5
1749973899527,9,Open content,200,OK,Test Case 4 4-14,text,true,,22730,512,5,30,https://my-jmeter-site.ddev.site/node/49,8,0,0
1749973899609,9,Open content,200,OK,Test Case 4 4-16,text,true,,22651,512,5,30,https://my-jmeter-site.ddev.site/node/17,9,0,0
1749973899642,8,Open content,200,OK,Test Case 6 6-14,text,true,,25696,512,5,30,https://my-jmeter-site.ddev.site/node/22,8,0,0
1749973899693,8,Click Login,200,OK,Test Case 2 2-14,text,true,,20861,515,5,30,https://my-jmeter-site.ddev.site/user/login,7,0,0
1749973899727,9,Open content,200,OK,Test Case 4 4-17,text,true,,24530,512,5,30,https://my-jmeter-site.ddev.site/node/30,8,0,0
1749973899681,63,Search a keyword,200,OK,Test Case 2 2-16,text,true,,32153,622,5,31,https://my-jmeter-site.ddev.site/search/node?keys=abdo,59,0,0
1749973899749,13,Open home page,200,OK,Test Case 6 6-13,text,true,,74152,505,5,31,https://my-jmeter-site.ddev.site/,13,0,4
1749973899752,27,Open content,200,OK,Test Case 3 3-16,text,true,,25938,608,5,31,https://my-jmeter-site.ddev.site/node/10,24,0,0
1749973899770,10,Open content,200,OK,Test Case 5 5-17,text,true,,24985,512,5,31,https://my-jmeter-site.ddev.site/node/40,10,0,0
1749973899773,10,Click Login,200,OK,Test Case 3 3-14,text,true,,20861,515,5,32,https://my-jmeter-site.ddev.site/user/login,10,0,0
1749973899773,25,Open home page,200,OK,Test Case 5 5-13,text,true,,74152,505,5,32,https://my-jmeter-site.ddev.site/,25,0,11
1749973899765,34,Open content,200,OK,Test Case 2 2-17,text,true,,27022,608,6,32,https://my-jmeter-site.ddev.site/node/18,33,0,0
1749973899809,7,Open content,200,OK,Test Case 5 5-15,text,true,,22745,511,5,33,https://my-jmeter-site.ddev.site/node/8,7,0,0
1749973899994,17,Open home page,200,OK,Test Case 6 6-17,text,true,,74152,505,6,36,https://my-jmeter-site.ddev.site/,16,0,5
1749973899998,17,Open home page,200,OK,Test Case 3 3-13,text,true,,74152,505,6,36,https://my-jmeter-site.ddev.site/,17,0,6
1749973899943,112,Enter credentials,200,OK,Test Case 3 3-15,text,true,,24576,1378,6,36,https://my-jmeter-site.ddev.site/user/5?check_logged_in=1,72,0,0
1749973899943,72,Enter credentials-0,303,See Other,Test Case 3 3-15,text,true,,1136,704,6,36,https://my-jmeter-site.ddev.site/user/login,72,0,0
1749973900015,40,Enter credentials-1,200,OK,Test Case 3 3-15,text,true,,23440,674,6,36,https://my-jmeter-site.ddev.site/user/5?check_logged_in=1,38,0,0
1749973900159,21,Open content,200,OK,Test Case 1 1-16,text,true,,27864,608,6,36,https://my-jmeter-site.ddev.site/node/43,20,0,0
1749973900240,13,Open home page,200,OK,Test Case 4 4-13,text,true,,74152,505,6,36,https://my-jmeter-site.ddev.site/,12,0,5
1749973900291,49,Open feedback page,200,OK,Test Case 3 3-17,text,true,,24862,608,6,36,https://my-jmeter-site.ddev.site/contact,45,0,0
1749973900532,9,Click Login,200,OK,Test Case 1 1-13,text,true,,20861,515,6,36,https://my-jmeter-site.ddev.site/user/login,9,0,0
1749973900597,21,Open feedback page,200,OK,Test Case 6 6-15,text,true,,22188,512,6,36,https://my-jmeter-site.ddev.site/contact,9,0,0
1749973900619,15,Open home page,200,OK,Test Case 4 4-14,text,true,,74152,505,6,36,https://my-jmeter-site.ddev.site/,15,0,7
1749973900804,19,Open home page,200,OK,Test Case 4 4-17,text,true,,74152,505,6,36,https://my-jmeter-site.ddev.site/,18,0,9
1749973900739,112,Enter credentials,200,OK,Test Case 1 1-17,text,true,,24583,1381,6,36,https://my-jmeter-site.ddev.site/user/18?check_logged_in=1,69,0,0
1749973900739,69,Enter credentials-0,303,See Other,Test Case 1 1-17,text,true,,1143,704,6,36,https://my-jmeter-site.ddev.site/user/login,69,0,0
